Date,Price,Open,High,Low,Vol.,Change %
May-19,"6,396.90","6,325.50","6,510.90","6,203.10",13.87B,1.13%
Jun-19,"6,618.80","6,396.90","6,691.50","6,315.60",13.58B,3.47%
Jul-19,"6,812.60","6,618.80","6,875.50","6,618.80",13.38B,2.93%
Aug-19,"6,604.20","6,812.60","6,812.60","6,396.00",15.48B,-3.06%
Sep-19,"6,688.30","6,604.20","6,775.60","6,503.90",14.70B,1.27%
Oct-19,"6,663.40","6,688.30","6,766.20","6,475.40",13.04B,-0.37%
Nov-19,"6,846.00","6,663.40","6,893.70","6,634.70",12.65B,2.74%
Dec-19,"6,684.10","6,846.00","6,890.00","6,590.10",11.09B,-2.36%
Jan-20,"7,017.20","6,684.10","7,144.90","6,669.20",10.88B,4.98%
Feb-20,"6,441.20","7,017.20","7,197.20","6,426.80",15.83B,-8.21%
Mar-20,"5,076.80","6,438.90","6,524.30","4,402.50",32.86B,-21.18%
Apr-20,"5,522.40","5,076.80","5,563.60","5,022.40",19.76B,8.78%
May-20,"5,755.70","5,522.40","5,922.00","5,169.60",19.85B,4.22%
Jun-20,"5,897.90","5,755.70","6,198.60","5,705.40",22.21B,2.47%
